run_set,condition,n_agents,seed,model,rounds_cap,history_limit,total_messages,unique_pairs,success_count,success_rate,rounds_run,path,exchange_inbox_messages,exchange_outbox_messages,exchange_price_update_count,exchange_price_abs_change,credit_proposals,credit_accepts,send_messages,invalid_actions
runs_core,barter,10,0,gpt-5-mini,8,10,47,13,5,0.5,8,runs_core/barter_N10_seed0.json,0,0,0,0.0,0,0,0,1
runs_core,barter,10,1,gpt-5-mini,8,10,28,15,8,0.8,8,runs_core/barter_N10_seed1.json,0,0,0,0.0,0,0,0,0
runs_core,barter,12,0,gpt-5-mini,8,10,59,23,5,0.4166666666666667,8,runs_core/barter_N12_seed0.json,0,0,0,0.0,0,0,0,2
runs_core,barter,12,1,gpt-5-mini,8,10,63,18,5,0.4166666666666667,8,runs_core/barter_N12_seed1.json,0,0,0,0.0,0,0,0,0
runs_core,barter,3,0,gpt-5-mini,8,10,8,3,3,1.0,5,runs_core/barter_N3_seed0.json,0,0,0,0.0,0,0,0,0
runs_core,barter,3,1,gpt-5-mini,8,10,14,2,1,0.3333333333333333,8,runs_core/barter_N3_seed1.json,0,0,0,0.0,0,0,0,0
runs_core,barter,5,0,gpt-5-mini,8,10,15,5,3,0.6,8,runs_core/barter_N5_seed0.json,0,0,0,0.0,0,0,0,4
runs_core,barter,5,1,gpt-5-mini,8,10,12,5,5,1.0,5,runs_core/barter_N5_seed1.json,0,0,0,0.0,0,0,0,1
runs_core,barter,8,0,gpt-5-mini,8,10,35,8,4,0.5,8,runs_core/barter_N8_seed0.json,0,0,0,0.0,0,0,0,3
runs_core,barter,8,1,gpt-5-mini,8,10,29,11,6,0.75,8,runs_core/barter_N8_seed1.json,0,0,0,0.0,0,0,0,3
runs_core,money_exchange,10,0,gpt-5-mini,8,10,62,10,10,1.0,4,runs_core/money_exchange_N10_seed0.json,31,31,0,0.0,0,0,0,0
runs_core,money_exchange,10,1,gpt-5-mini,8,10,60,10,10,1.0,4,runs_core/money_exchange_N10_seed1.json,30,30,0,0.0,0,0,0,0
runs_core,money_exchange,12,0,gpt-5-mini,8,10,74,12,12,1.0,4,runs_core/money_exchange_N12_seed0.json,37,37,0,0.0,0,0,0,0
runs_core,money_exchange,12,1,gpt-5-mini,8,10,72,12,12,1.0,4,runs_core/money_exchange_N12_seed1.json,36,36,0,0.0,0,0,0,0
runs_core,money_exchange,3,0,gpt-5-mini,8,10,20,3,3,1.0,4,runs_core/money_exchange_N3_seed0.json,10,10,1,0.050000000000000044,0,0,0,0
runs_core,money_exchange,3,1,gpt-5-mini,8,10,16,3,3,1.0,3,runs_core/money_exchange_N3_seed1.json,8,8,0,0.0,0,0,0,0
runs_core,money_exchange,5,0,gpt-5-mini,8,10,26,5,5,1.0,3,runs_core/money_exchange_N5_seed0.json,13,13,0,0.0,0,0,0,0
runs_core,money_exchange,5,1,gpt-5-mini,8,10,32,5,5,1.0,4,runs_core/money_exchange_N5_seed1.json,16,16,0,0.0,0,0,0,0
runs_core,money_exchange,8,0,gpt-5-mini,8,10,46,8,8,1.0,4,runs_core/money_exchange_N8_seed0.json,23,23,2,0.020000000000000018,0,0,0,0
runs_core,money_exchange,8,1,gpt-5-mini,8,10,48,8,8,1.0,3,runs_core/money_exchange_N8_seed1.json,24,24,0,0.0,0,0,0,0
